lexeme,cell,form,tier,slot,formative
danā,ind.prs.act.f.2.p,t a d n uː n a,segmental,0,t
danā,ind.prs.act.f.2.p,t a d n uː n a,segmental,1,adn
danā,ind.prs.act.f.2.p,t a d n uː n a,segmental,2,uː
danā,ind.prs.act.f.2.p,t a d n uː n a,segmental,3,n
danā,ind.prs.act.f.2.p,t a d n uː n a,segmental,4,a
danā,ind.prs.act.f.2.s,t a d n iː n a,segmental,0,t
danā,ind.prs.act.f.2.s,t a d n iː n a,segmental,1,adn
danā,ind.prs.act.f.2.s,t a d n iː n a,segmental,2,iː
danā,ind.prs.act.f.2.s,t a d n iː n a,segmental,3,n
danā,ind.prs.act.f.2.s,t a d n iː n a,segmental,4,a
danā,ind.prs.act.f.3.d,t a d n u w aː n i,segmental,0,t
danā,ind.prs.act.f.3.d,t a d n u w aː n i,segmental,1,adn
danā,ind.prs.act.f.3.d,t a d n u w aː n i,segmental,2,uwaː
danā,ind.prs.act.f.3.d,t a d n u w aː n i,segmental,3,n
danā,ind.prs.act.f.3.d,t a d n u w aː n i,segmental,4,i
danā,ind.prs.act.f.3.p,j a d n uː n a,segmental,0,j
danā,ind.prs.act.f.3.p,j a d n uː n a,segmental,1,adn
danā,ind.prs.act.f.3.p,j a d n uː n a,segmental,2,uː
danā,ind.prs.act.f.3.p,j a d n uː n a,segmental,3,n
danā,ind.prs.act.f.3.p,j a d n uː n a,segmental,4,a
danā,ind.prs.act.f.3.s,t a d n uː,segmental,0,t
danā,ind.prs.act.f.3.s,t a d n uː,segmental,1,adn
danā,ind.prs.act.f.3.s,t a d n uː,segmental,2,uː
danā,ind.prs.act.m.2.p,t a d n uː n a,segmental,0,t
danā,ind.prs.act.m.2.p,t a d n uː n a,segmental,1,adn
danā,ind.prs.act.m.2.p,t a d n uː n a,segmental,2,uː
danā,ind.prs.act.m.2.p,t a d n uː n a,segmental,3,n
danā,ind.prs.act.m.2.p,t a d n uː n a,segmental,4,a
danā,ind.prs.act.m.2.s,t a d n uː,segmental,0,t
danā,ind.prs.act.m.2.s,t a d n uː,segmental,1,adn
danā,ind.prs.act.m.2.s,t a d n uː,segmental,2,uː
danā,ind.prs.act.m.3.d,j a d n u w aː n i,segmental,0,j
danā,ind.prs.act.m.3.d,j a d n u w aː n i,segmental,1,adn
danā,ind.prs.act.m.3.d,j a d n u w aː n i,segmental,2,uwaː
danā,ind.prs.act.m.3.d,j a d n u w aː n i,segmental,3,n
danā,ind.prs.act.m.3.d,j a d n u w aː n i,segmental,4,i
danā,ind.prs.act.m.3.p,j a d n uː n a,segmental,0,j
danā,ind.prs.act.m.3.p,j a d n uː n a,segmental,1,adn
danā,ind.prs.act.m.3.p,j a d n uː n a,segmental,2,uː
danā,ind.prs.act.m.3.p,j a d n uː n a,segmental,3,n
danā,ind.prs.act.m.3.p,j a d n uː n a,segmental,4,a
danā,ind.prs.act.m.3.s,j a d n uː,segmental,0,j
danā,ind.prs.act.m.3.s,j a d n uː,segmental,1,adn
danā,ind.prs.act.m.3.s,j a d n uː,segmental,2,uː
danā,ind.prs.act.m/f.1.p,n a d n uː,segmental,0,n
danā,ind.prs.act.m/f.1.p,n a d n uː,segmental,1,adn
danā,ind.prs.act.m/f.1.p,n a d n uː,segmental,2,uː
danā,ind.prs.act.m/f.1.s,a d n uː,segmental,1,adn
danā,ind.prs.act.m/f.1.s,a d n uː,segmental,2,uː
danā,ind.prs.act.m/f.2.d,t a d n u w aː n i,segmental,0,t
danā,ind.prs.act.m/f.2.d,t a d n u w aː n i,segmental,1,adn
danā,ind.prs.act.m/f.2.d,t a d n u w aː n i,segmental,2,uwaː
danā,ind.prs.act.m/f.2.d,t a d n u w aː n i,segmental,3,n
danā,ind.prs.act.m/f.2.d,t a d n u w aː n i,segmental,4,i
istaslama,ind.prs.act.f.2.p,t a s t a s l i m n a,segmental,0,t
istaslama,ind.prs.act.f.2.p,t a s t a s l i m n a,segmental,1,astaslim
istaslama,ind.prs.act.f.2.p,t a s t a s l i m n a,segmental,3,n
istaslama,ind.prs.act.f.2.p,t a s t a s l i m n a,segmental,4,a
istaslama,ind.prs.act.f.2.s,t a s t a s l i m iː n a,segmental,0,t
istaslama,ind.prs.act.f.2.s,t a s t a s l i m iː n a,segmental,1,astaslim
istaslama,ind.prs.act.f.2.s,t a s t a s l i m iː n a,segmental,2,iː
istaslama,ind.prs.act.f.2.s,t a s t a s l i m iː n a,segmental,3,n
