lexeme,cell,form,tier,slot,formative
aller,prs.1sg,v E,segmental,0,v
aller,prs.1sg,v E,segmental,1,E
aller,prs.2sg,v a,segmental,0,v
aller,prs.2sg,v a,segmental,1,a
aller,prs.3sg,v a,segmental,0,v
aller,prs.3sg,v a,segmental,1,a
aller,prs.1pl,a l ɔ̃,segmental,0,al
aller,prs.1pl,a l ɔ̃,segmental,2,ɔ̃
aller,prs.2pl,a l E,segmental,0,al
aller,prs.2pl,a l E,segmental,1,E
aller,prs.3pl,v ɔ̃,segmental,0,v
aller,prs.3pl,v ɔ̃,segmental,2,ɔ̃
aller,fut.1sg,i ʁ E,segmental,0,iʁ
aller,fut.1sg,i ʁ E,segmental,1,E
aller,fut.2sg,i ʁ a,segmental,0,iʁ
aller,fut.2sg,i ʁ a,segmental,1,a
aller,fut.3sg,i ʁ a,segmental,0,iʁ
aller,fut.3sg,i ʁ a,segmental,1,a
aller,fut.1pl,i ʁ ɔ̃,segmental,0,iʁ
aller,fut.1pl,i ʁ ɔ̃,segmental,2,ɔ̃
aller,fut.2pl,i ʁ E,segmental,0,iʁ
aller,fut.2pl,i ʁ E,segmental,1,E
aller,fut.3pl,i ʁ ɔ̃,segmental,0,iʁ
aller,fut.3pl,i ʁ ɔ̃,segmental,2,ɔ̃
aller,pst.1sg,a l E,segmental,0,al
aller,pst.1sg,a l E,segmental,1,E
aller,pst.2sg,a l a,segmental,0,al
aller,pst.2sg,a l a,segmental,1,a
aller,pst.3sg,a l a,segmental,0,al
aller,pst.3sg,a l a,segmental,1,a
aller,pst.1pl,a l a m,segmental,0,al
aller,pst.1pl,a l a m,segmental,1,a
aller,pst.1pl,a l a m,segmental,2,m
aller,pst.2pl,a l a t,segmental,0,al
aller,pst.2pl,a l a t,segmental,1,a
aller,pst.2pl,a l a t,segmental,2,t
aller,pst.3pl,a l E ʁ,segmental,0,al
aller,pst.3pl,a l E ʁ,segmental,1,E
aller,pst.3pl,a l E ʁ,segmental,2,ʁ
aller,inf,a l E,segmental,0,al
aller,inf,a l E,segmental,1,E
aller,prs.ptcp,a l ɑ̃,segmental,0,al
aller,prs.ptcp,a l ɑ̃,segmental,2,ɑ̃
apprendre,prs.1sg,a p ʁ ɑ̃,segmental,0,apʁ
apprendre,prs.1sg,a p ʁ ɑ̃,segmental,1,ɑ̃
apprendre,prs.2sg,a p ʁ ɑ̃,segmental,0,apʁ
apprendre,prs.2sg,a p ʁ ɑ̃,segmental,1,ɑ̃
apprendre,prs.3sg,a p ʁ ɑ̃,segmental,0,apʁ
apprendre,prs.3sg,a p ʁ ɑ̃,segmental,1,ɑ̃
apprendre,prs.1pl,a p ʁ Ø n ɔ̃,segmental,0,apʁ
apprendre,prs.1pl,a p ʁ Ø n ɔ̃,segmental,2,Ø
