lexeme,cell,form,tier,slot,formative
DISROBE,fut.dur,s ə r s i p ə r ⁿt,segmental,0,s
DISROBE,fut.dur,s ə r s i p ə r ⁿt,segmental,1,ər
DISROBE,fut.dur,s ə r s i p ə r ⁿt,segmental,3,sip
DISROBE,fut.dur,s ə r s i p ə r ⁿt,segmental,4,ər
DISROBE,fut.dur,s ə r s i p ə r ⁿt,segmental,7,ⁿt
DISROBE,prs.dur,i s i p ə r,segmental,2,i
DISROBE,prs.dur,i s i p ə r,segmental,3,sip
DISROBE,prs.dur,i s i p ə r,segmental,4,ər
DISROBE,hod.dur,i s i p ə r i,segmental,2,i
DISROBE,hod.dur,i s i p ə r i,segmental,3,sip
DISROBE,hod.dur,i s i p ə r i,segmental,4,ər
DISROBE,hod.dur,i s i p ə r i,segmental,7,i
DISROBE,rct.dur,s u s i p ə r,segmental,0,s
DISROBE,rct.dur,s u s i p ə r,segmental,2,u
DISROBE,rct.dur,s u s i p ə r,segmental,3,sip
DISROBE,rct.dur,s u s i p ə r,segmental,4,ər
DISROBE,rmt.dur,i s i p ə r u,segmental,2,i
DISROBE,rmt.dur,i s i p ə r u,segmental,3,sip
DISROBE,rmt.dur,i s i p ə r u,segmental,4,ər
DISROBE,rmt.dur,i s i p ə r u,segmental,7,u
DISROBE,fut.pfv,s ə r ɛ s i p ɛ,segmental,0,s
DISROBE,fut.pfv,s ə r ɛ s i p ɛ,segmental,1,ər
DISROBE,fut.pfv,s ə r ɛ s i p ɛ,segmental,2,ɛ
DISROBE,fut.pfv,s ə r ɛ s i p ɛ,segmental,3,sip
DISROBE,fut.pfv,s ə r ɛ s i p ɛ,segmental,6,ɛ
DISROBE,hod.pfv,s ɛ s i p ɛ,segmental,0,s
DISROBE,hod.pfv,s ɛ s i p ɛ,segmental,2,ɛ
DISROBE,hod.pfv,s ɛ s i p ɛ,segmental,3,sip
DISROBE,hod.pfv,s ɛ s i p ɛ,segmental,6,ɛ
DISROBE,rct.pfv,s ɛ s i p ɛ ⁿt,segmental,0,s
DISROBE,rct.pfv,s ɛ s i p ɛ ⁿt,segmental,2,ɛ
DISROBE,rct.pfv,s ɛ s i p ɛ ⁿt,segmental,3,sip
DISROBE,rct.pfv,s ɛ s i p ɛ ⁿt,segmental,6,ɛ
DISROBE,rct.pfv,s ɛ s i p ɛ ⁿt,segmental,7,ⁿt
DISROBE,rmt.pfv,s ɛ s i p ɛ ᵑk,segmental,0,s
DISROBE,rmt.pfv,s ɛ s i p ɛ ᵑk,segmental,2,ɛ
DISROBE,rmt.pfv,s ɛ s i p ɛ ᵑk,segmental,3,sip
DISROBE,rmt.pfv,s ɛ s i p ɛ ᵑk,segmental,6,ɛ
DISROBE,rmt.pfv,s ɛ s i p ɛ ᵑk,segmental,7,ᵑk
DISROBE,rct.ipfv,i s i p ə r ə n,segmental,2,i
DISROBE,rct.ipfv,i s i p ə r ə n,segmental,3,sip
DISROBE,rct.ipfv,i s i p ə r ə n,segmental,4,ər
DISROBE,rct.ipfv,i s i p ə r ə n,segmental,5,ə
DISROBE,rct.ipfv,i s i p ə r ə n,segmental,7,n
DISROBE,rmt.ipfv,s u s i p ə r ə r ⁿt,segmental,0,s
DISROBE,rmt.ipfv,s u s i p ə r ə r ⁿt,segmental,2,u
DISROBE,rmt.ipfv,s u s i p ə r ə r ⁿt,segmental,3,sip
DISROBE,rmt.ipfv,s u s i p ə r ə r ⁿt,segmental,4,ər
DISROBE,rmt.ipfv,s u s i p ə r ə r ⁿt,segmental,5,ə
DISROBE,rmt.ipfv,s u s i p ə r ə r ⁿt,segmental,6,r
DISROBE,rmt.ipfv,s u s i p ə r ə r ⁿt,segmental,7,ⁿt
EJECT,fut.dur,s ə r m ɛ ⁿt,segmental,0,s
EJECT,fut.dur,s ə r m ɛ ⁿt,segmental,1,ər
EJECT,fut.dur,s ə r m ɛ ⁿt,segmental,3,m
EJECT,fut.dur,s ə r m ɛ ⁿt,segmental,5,ɛ
EJECT,fut.dur,s ə r m ɛ ⁿt,segmental,8,ⁿt
EJECT,prs.dur,i m ɛ,segmental,2,i
EJECT,prs.dur,i m ɛ,segmental,3,m
EJECT,prs.dur,i m ɛ,segmental,5,ɛ
EJECT,hod.dur,i m ɛ i,segmental,2,i
EJECT,hod.dur,i m ɛ i,segmental,3,m
EJECT,hod.dur,i m ɛ i,segmental,5,ɛ
EJECT,hod.dur,i m ɛ i,segmental,8,i
EJECT,rct.dur,s u m ɛ,segmental,0,s
EJECT,rct.dur,s u m ɛ,segmental,2,u
EJECT,rct.dur,s u m ɛ,segmental,3,m
EJECT,rct.dur,s u m ɛ,segmental,5,ɛ
EJECT,rmt.dur,i m ɛ u,segmental,2,i
EJECT,rmt.dur,i m ɛ u,segmental,3,m
EJECT,rmt.dur,i m ɛ u,segmental,5,ɛ
EJECT,rmt.dur,i m ɛ u,segmental,8,u
EJECT,fut.pfv,s ə r i m ɛ r,segmental,0,s
EJECT,fut.pfv,s ə r i m ɛ r,segmental,1,ər
EJECT,fut.pfv,s ə r i m ɛ r,segmental,2,i
EJECT,fut.pfv,s ə r i m ɛ r,segmental,3,m
EJECT,fut.pfv,s ə r i m ɛ r,segmental,4,ɛ
EJECT,fut.pfv,s ə r i m ɛ r,segmental,5,r
EJECT,hod.pfv,s i m ɛ r,segmental,0,s
EJECT,hod.pfv,s i m ɛ r,segmental,2,i
EJECT,hod.pfv,s i m ɛ r,segmental,3,m
EJECT,hod.pfv,s i m ɛ r,segmental,4,ɛ
EJECT,hod.pfv,s i m ɛ r,segmental,5,r
EJECT,rct.pfv,s i m ɛ r ə ⁿt,segmental,0,s
EJECT,rct.pfv,s i m ɛ r ə ⁿt,segmental,2,i
EJECT,rct.pfv,s i m ɛ r ə ⁿt,segmental,3,m
EJECT,rct.pfv,s i m ɛ r ə ⁿt,segmental,4,ɛ
EJECT,rct.pfv,s i m ɛ r ə ⁿt,segmental,5,r
EJECT,rct.pfv,s i m ɛ r ə ⁿt,segmental,6,ə
EJECT,rct.pfv,s i m ɛ r ə ⁿt,segmental,8,ⁿt
EJECT,rmt.pfv,s i m ɛ r ə ᵑk,segmental,0,s
EJECT,rmt.pfv,s i m ɛ r ə ᵑk,segmental,2,i
EJECT,rmt.pfv,s i m ɛ r ə ᵑk,segmental,3,m
EJECT,rmt.pfv,s i m ɛ r ə ᵑk,segmental,4,ɛ
EJECT,rmt.pfv,s i m ɛ r ə ᵑk,segmental,5,r
EJECT,rmt.pfv,s i m ɛ r ə ᵑk,segmental,6,ə
EJECT,rmt.pfv,s i m ɛ r ə ᵑk,segmental,8,ᵑk
EJECT,rct.ipfv,i m ɛ j ə n,segmental,2,i
EJECT,rct.ipfv,i m ɛ j ə n,segmental,3,m
EJECT,rct.ipfv,i m ɛ j ə n,segmental,4,ɛ
EJECT,rct.ipfv,i m ɛ j ə n,segmental,5,j
EJECT,rct.ipfv,i m ɛ j ə n,segmental,6,ə
EJECT,rct.ipfv,i m ɛ j ə n,segmental,8,n
EJECT,rmt.ipfv,s w i m ɛ j ə r ⁿt,segmental,0,s
EJECT,rmt.ipfv,s w i m ɛ j ə r ⁿt,segmental,1,w
EJECT,rmt.ipfv,s w i m ɛ j ə r ⁿt,segmental,2,i
EJECT,rmt.ipfv,s w i m ɛ j ə r ⁿt,segmental,3,m
EJECT,rmt.ipfv,s w i m ɛ j ə r ⁿt,segmental,4,ɛ
EJECT,rmt.ipfv,s w i m ɛ j ə r ⁿt,segmental,5,j
