lexeme,cell,form,tier,slot,formative
a⁰chi¹,cpl,n k u⁰ tʃ i¹,tone,0,⁰¹
a⁰chi¹,pot,k a⁰ tʃ i¹,tone,0,⁰¹
a⁰chi¹,hab,n t i⁰ tʃ i¹,tone,0,⁰¹
a⁰chi¹,prog,n tʃ a⁰ tʃ i¹,tone,0,⁰¹
a⁰chi¹,cpl,n k u⁰ tʃ i¹,segmental,0,n
a⁰chi¹,cpl,n k u⁰ tʃ i¹,segmental,1,k
a⁰chi¹,cpl,n k u⁰ tʃ i¹,segmental,2,u
a⁰chi¹,cpl,n k u⁰ tʃ i¹,segmental,3,tʃi
a⁰chi¹,pot,k a⁰ tʃ i¹,segmental,1,k
a⁰chi¹,pot,k a⁰ tʃ i¹,segmental,2,a
a⁰chi¹,pot,k a⁰ tʃ i¹,segmental,3,tʃi
a⁰chi¹,hab,n t i⁰ tʃ i¹,segmental,0,n
a⁰chi¹,hab,n t i⁰ tʃ i¹,segmental,2,ti
a⁰chi¹,hab,n t i⁰ tʃ i¹,segmental,3,tʃi
a⁰chi¹,prog,n tʃ a⁰ tʃ i¹,segmental,0,n
a⁰chi¹,prog,n tʃ a⁰ tʃ i¹,segmental,1,tʃ
a⁰chi¹,prog,n tʃ a⁰ tʃ i¹,segmental,2,a
a⁰chi¹,prog,n tʃ a⁰ tʃ i¹,segmental,3,tʃi
a⁰tzu⁰,cpl,n k u⁰ ʦ u⁰,tone,0,⁰⁰
a⁰tzu⁰,pot,k a⁰ ʦ u⁰,tone,0,⁰⁰
a⁰tzu⁰,hab,n t i⁰ ʦ u⁰,tone,0,⁰⁰
a⁰tzu⁰,prog,n tʃ a⁰ ʦ u⁰,tone,0,⁰⁰
a⁰tzu⁰,cpl,n k u⁰ ʦ u⁰,segmental,0,n
a⁰tzu⁰,cpl,n k u⁰ ʦ u⁰,segmental,1,k
a⁰tzu⁰,cpl,n k u⁰ ʦ u⁰,segmental,2,u
a⁰tzu⁰,cpl,n k u⁰ ʦ u⁰,segmental,3,ʦu
a⁰tzu⁰,pot,k a⁰ ʦ u⁰,segmental,1,k
a⁰tzu⁰,pot,k a⁰ ʦ u⁰,segmental,2,a
a⁰tzu⁰,pot,k a⁰ ʦ u⁰,segmental,3,ʦu
a⁰tzu⁰,hab,n t i⁰ ʦ u⁰,segmental,0,n
a⁰tzu⁰,hab,n t i⁰ ʦ u⁰,segmental,2,ti
a⁰tzu⁰,hab,n t i⁰ ʦ u⁰,segmental,3,ʦu
a⁰tzu⁰,prog,n tʃ a⁰ ʦ u⁰,segmental,0,n
a⁰tzu⁰,prog,n tʃ a⁰ ʦ u⁰,segmental,1,tʃ
a⁰tzu⁰,prog,n tʃ a⁰ ʦ u⁰,segmental,2,a
a⁰tzu⁰,prog,n tʃ a⁰ ʦ u⁰,segmental,3,ʦu
a⁰ą⁰,cpl,j a⁰ ã⁰,tone,1,⁰⁰
a⁰ą⁰,pot,n i⁰ h j a⁰ ã⁰,tone,0,⁰
a⁰ą⁰,pot,n i⁰ h j a⁰ ã⁰,tone,1,⁰⁰
a⁰ą⁰,hab,nʲ a⁰ ã⁰,tone,1,⁰⁰
a⁰ą⁰,prog,n t e⁰ j a⁰ ã⁰,tone,0,⁰
a⁰ą⁰,prog,n t e⁰ j a⁰ ã⁰,tone,1,⁰⁰
a⁰ą⁰,cpl,j a⁰ ã⁰,segmental,2,j
a⁰ą⁰,cpl,j a⁰ ã⁰,segmental,3,aã
a⁰ą⁰,pot,n i⁰ h j a⁰ ã⁰,segmental,0,n
a⁰ą⁰,pot,n i⁰ h j a⁰ ã⁰,segmental,1,ih
a⁰ą⁰,pot,n i⁰ h j a⁰ ã⁰,segmental,2,j
a⁰ą⁰,pot,n i⁰ h j a⁰ ã⁰,segmental,3,aã
a⁰ą⁰,hab,nʲ a⁰ ã⁰,segmental,2,nʲ
a⁰ą⁰,hab,nʲ a⁰ ã⁰,segmental,3,aã
a⁰ą⁰,prog,n t e⁰ j a⁰ ã⁰,segmental,0,n
a⁰ą⁰,prog,n t e⁰ j a⁰ ã⁰,segmental,1,te
a⁰ą⁰,prog,n t e⁰ j a⁰ ã⁰,segmental,2,j
a⁰ą⁰,prog,n t e⁰ j a⁰ ã⁰,segmental,3,aã
hna⁰ʔ,cpl,n k a⁰ h n a⁰ ʔ,tone,0,⁰⁰
hna⁰ʔ,pot,k i⁰ h n a⁰ ʔ,tone,0,⁰⁰
hna⁰ʔ,hab,n t i⁰ h n a⁰ ʔ,tone,0,⁰⁰
hna⁰ʔ,prog,n t e⁰ h n a⁰ ʔ,tone,0,⁰⁰
hna⁰ʔ,cpl,n k a⁰ h n a⁰ ʔ,segmental,0,n
hna⁰ʔ,cpl,n k a⁰ h n a⁰ ʔ,segmental,1,k
hna⁰ʔ,cpl,n k a⁰ h n a⁰ ʔ,segmental,2,a
hna⁰ʔ,cpl,n k a⁰ h n a⁰ ʔ,segmental,3,hnaʔ
hna⁰ʔ,pot,k i⁰ h n a⁰ ʔ,segmental,1,k
hna⁰ʔ,pot,k i⁰ h n a⁰ ʔ,segmental,2,i
hna⁰ʔ,pot,k i⁰ h n a⁰ ʔ,segmental,3,hnaʔ
hna⁰ʔ,hab,n t i⁰ h n a⁰ ʔ,segmental,0,n
hna⁰ʔ,hab,n t i⁰ h n a⁰ ʔ,segmental,1,t
